TAC	MARKETING NAME	MANUFACTURER	ACCESS CAPABILITY	MODEL	VENDOR NAME	UE TYPE	OS	INPUT_MODE
100100	G410	Mitsubishi	GSM 1800, GSM 900	G410	Mitsubishi	(null)	(null)	(null)
100200	A53	Siemens	GSM 1900, GSM850 (GSM800)	A53	Siemens	HANDHELD	(null)	BASIC
100300	TBD (AAB-1880030-BV)	Sony Ericsson	GSM 1900, GSM850 (GSM800)	TBD (AAB-1880030-BV)	Sony Ericsson	HANDHELD	(null)	(null)
100400	RM-669	Nokia	GSM 1900, GSM850 (GSM800)	RM-669	Nokia	(null)	(null)	(null)
100500	M930 NA DB	Motorola	GSM 1900, GSM850 (GSM800)	M930 NA DB	Motorola	HANDHELD	(null)	(null)
100600	EBX700	Panasonic	GSM 1800, GSM 1900, GSM 900	EBX700	Panasonic	(null)	(null)	(null)
100700	Test IMEI	Sagem	GSM 1900	Test IMEI	Sagem	(null)	(null)	(null)
100800	TCD718	Philips	GSM 1900	TCD718	Philips	(null)	(null)	(null)
100900	Test IMEI	Sony	GSM 1900	Test IMEI	Sony	(null)	(null)	(null)
101000	Test IMEI	Casio Hitachi Mobile Communications	GSM 1900	Test IMEI	Casio Hitachi Mobile Communications	(null)	(null)	(null)
101300	LMU	Nortel	GSM 1900	LMU	Nortel	(null)	(null)	(null)
101500	GX-28	Sharp	GSM 1800, GSM 1900, GSM850 (GSM800)	GX-28	Sharp	HANDHELD	(null)	(null)
101600	ALCATEL OT-807A	TCT Mobile Suzhou Limited	GSM 1900, GSM850 (GSM800)	ALCATEL OT-807A	TCT Mobile Suzhou Limited	(null)	(null)	(null)
101700	Wireless CPU Q2687	Wavecom	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Wireless CPU Q2687	Wavecom	M2M	(null)	(null)
101710	WMO2-g1900	Wavecom	GSM 1900	WMO2-g1900	Wavecom	M2M	(null)	(null)
101800	Ovation MC547	Novatel Wireless	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band V	Ovation MC547	Novatel Wireless	PC	(null)	(null)
102000	RAP40GW	RIM	GSM 1800, GSM 900	RAP40GW	RIM	HANDHELD	BLACKBERRY	QWERTY
102100	MX-5010	Shintom Co. Ltd	GSM 1800, GSM 1900, GSM 900	MX-5010	Shintom Co. Ltd	(null)	(null)	(null)
102200	Zoarmon	Intel	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Zoarmon	Intel	(null)	(null)	(null)
102300	SGH-t829	Samsung	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	SGH-t829	Samsung	HANDHELD	(null)	(null)
102400	Telguard 5 (TG5)	Telular Corp	GSM 1900, GSM850 (GSM800)	Telguard 5 (TG5)	Telular Corp	(null)	(null)	(null)
102500	Fizgig	Option NV	GSM 1800, GSM 1900, GSM 900	Fizgig	Option NV	(null)	(null)	(null)
102600	KMP6J1S1-6	NEC	GSM 1800, GSM 1900, GSM 900	KMP6J1S1-6	NEC	(null)	(null)	(null)
102700	USB316	Sierra Wireless	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II	USB316	Sierra Wireless	PC	(null)	(null)
102800	U1	Danger Inc.	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	U1	Danger Inc.	(null)	(null)	(null)
102900	Ferry	Quanta Computer	GSM 1900	Ferry	Quanta Computer	(null)	(null)	(null)
103000	700C	Intermec Technologies Corp.	GSM 1800, GSM 1900, GSM 900	700C	Intermec Technologies Corp.	(null)	(null)	(null)
103100	K1	Sendo Ltd	GSM 1900, GSM850 (GSM800)	K1	Sendo Ltd	(null)	(null)	(null)
103200	7525 Workabout pro	Psion Teklogix Inc.	GSM 1800, GSM 1900, GSM 900	7525 Workabout pro	Psion Teklogix Inc.	(null)	(null)	(null)
103300	Benefon Track Box	benefon oyj	GSM 1900, GSM 900	Benefon Track Box	benefon oyj	(null)	(null)	(null)
103500	AD600	LG	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band V	AD600	LG	HANDHELD	(null)	(null)
103600	GSM5108	Enfora	GPRS	GSM5108	Enfora	M2M	(null)	(null)
103700	TM3000-C ATD	Trimble	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	TM3000-C ATD	Trimble	(null)	(null)	(null)
103800	G1000	Sanyo	GSM 1800, GSM 1900, GSM 900	G1000	Sanyo	(null)	(null)	(null)
103900	AGM 1100	Accetio, Inc.	GSM 1800, GSM 1900, GSM 900	AGM 1100	Accetio, Inc.	(null)	(null)	(null)
104100	ITH155/MGH900	Mirae Comm Co Ltd	GSM 1800, GSM 1900, GSM 900	ITH155/MGH900	Mirae Comm Co Ltd	(null)	(null)	(null)
104200	CF-29/CF-18/CF-73/CF-P1	Matsushita	GSM 1800, GSM 1900, GSM850 (GSM800)	CF-29/CF-18/CF-73/CF-P1	Matsushita	(null)	(null)	(null)
104400	H6xxx	Compal Com.inc	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	H6xxx	Compal Com.inc	(null)	(null)	(null)
104500	Artema Mobile Secure GPRS	Thales e-Transactions GmbH	GSM 1900, GSM850 (GSM800)	Artema Mobile Secure GPRS	Thales e-Transactions GmbH	(null)	(null)	(null)
104600	TS34	Toshiba	GSM 1800, GSM 900	TS34	Toshiba	(null)	(null)	(null)
104700	PLD	PowerLOC Technologies Inc.	GSM 1900, GSM850 (GSM800)	PLD	PowerLOC Technologies Inc.	(null)	(null)	(null)
104800	1000-1146	Arbitron	GSM 1800, GSM 900	1000-1146	Arbitron	(null)	(null)	(null)
105000	GU-1000	Curitel Communications. Inc.	GSM 1800, GSM 1900, GSM 900	GU-1000	Curitel Communications. Inc.	(null)	(null)	(null)
105200	VK530	VK Corporation	GSM 1900, GSM850 (GSM800)	VK530	VK Corporation	(null)	(null)	(null)
105300	BM3-891G GPRS OEM Modem	Wavenet Technology	GPRS	BM3-891G GPRS OEM Modem	Wavenet Technology	M2M	(null)	(null)
105400	P7	Qingdao Haier Telecom	GSM 1800, GSM 1900, GSM 900	P7	Qingdao Haier Telecom	(null)	(null)	(null)
105500	PLD100 series	Destinator Technologies	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	PLD100 series	Destinator Technologies	(null)	(null)	(null)
105600	Jembi	Psitek	GSM 1900, GSM850 (GSM800)	Jembi	Psitek	(null)	(null)	(null)
105700	U-300	Telian	GSM 1800, GSM 1900, GSM 900	U-300	Telian	(null)	(null)	(null)
105900	DM1000G	Waxess Inc	GSM 1900, GSM850 (GSM800)	DM1000G	Waxess Inc	(null)	(null)	(null)
106200	SM5100B	Spreadtrum	GSM 1900, GSM850 (GSM800)	SM5100B	Spreadtrum	M2M	(null)	(null)
106400	Debussy	CMCS	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Debussy	CMCS	(null)	(null)	(null)
106500	GX820	CalAmp	GSM 1900, GSM850 (GSM800)	GX820	CalAmp	(null)	(null)	(null)
106600	WRTU54G	Cisco Systems	GSM 1800, GSM 900	WRTU54G	Cisco Systems	(null)	(null)	(null)
106700	whereQube201	Geometris	GSM 1800, GSM 1900, GSM850 (GSM800)	whereQube201	Geometris	(null)	(null)	(null)
106900	R100	Firefly Mobile	GSM 1900, GSM850 (GSM800)	R100	Firefly Mobile	(null)	(null)	(null)
107100	Dolphin 9900	Handheld Products, Inc d/b/a HHP	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Dolphin 9900	Handheld Products, Inc d/b/a HHP	(null)	(null)	(null)
107200	Test IMEI	Apple	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Test IMEI	Apple	(null)	IOS	TOUCH_SCREEN
107400	Nurit 8020	VeriFone	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Nurit 8020	VeriFone	(null)	(null)	(null)
107600	SN-LSb-02	Savi Networks	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band V	SN-LSb-02	Savi Networks	(null)	(null)	(null)
107700	IMM6071-M01	InterDigital	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band IV, WCDMA FDD Band V	IMM6071-M01	InterDigital	(null)	(null)	(null)
107800	247910	Garmin International	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	247910	Garmin International	(null)	(null)	(null)
107900	Machine Gateway	Phoenix International	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Machine Gateway	Phoenix International	(null)	(null)	(null)
108000	XP3300-AR1 (P25C005AA)	Sonim Technologies	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	XP3300-AR1 (P25C005AA)	Sonim Technologies	(null)	(null)	(null)
108100	TSN-1.1	Elektrobit Inc	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band II, WCDMA FDD Band V	TSN-1.1	Elektrobit Inc	(null)	(null)	(null)
108200	Dolphin 10K	Honeywell	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band V	Dolphin 10K	Honeywell	(null)	(null)	(null)
108300	WWH9010	Askey Computer Corp	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band V	WWH9010	Askey Computer Corp	(null)	(null)	(null)
108400	Gobi3000	Qualcomm	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band IV, WCDMA FDD Band V, WCDMA FDD Band VIII	Gobi3000	Qualcomm	PC	(null)	(null)
116000	Test IMEI	Omnipoint	GSM 1900	Test IMEI	Omnipoint	(null)	(null)	(null)
21060800	VEA3	S.A.R.L. B  & B International	GSM 1800, GSM 900	VEA3	S.A.R.L. B  & B International	(null)	(null)	(null)
33000153	9109 PA	Alcatel Radiotelephone (LAVAL)	GSM 900	9109 PA	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33000253	Dirland Miniphone	Alcatel Radiotelephone (LAVAL)	GSM 900	Dirland Miniphone	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33000353	9109PA	Alcatel Radiotelephone	GSM 900	9109PA	Alcatel Radiotelephone	(null)	(null)	(null)
33000453	Lisa 9030 Type 9109H	Alcatel Radiotelephone (LAVAL)	GSM 900	Lisa 9030 Type 9109H	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33000553	Dirland Mobiphone	Alcatel Radiotelephone (LAVAL)	GSM 900	Dirland Mobiphone	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33000635	Mitsubishi GSM MT-1000F02A	Mitsubishi Electric France	GSM 900	Mitsubishi GSM MT-1000F02A	Mitsubishi Electric France	(null)	(null)	(null)
33000753	Audiovox Type GSM 510	Alcatel Radiotelephone (LAVAL)	GSM 900	Audiovox Type GSM 510	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33000853	Dirland Type Miniphone III	Alcatel Radiotelephone (LAVAL)	GSM 900	Dirland Type Miniphone III	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33000953	GSM 510 Type Audiovox HB 160	Alcatel Radiotelephone (LAVAL)	GSM 900	GSM 510 Type Audiovox HB 160	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33001053	Vodafone VN 2121	Alcatel Radiotelephone (LAVAL)	GSM 900	Vodafone VN 2121	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33001195	Sagem Type G 14	Sagem	GSM 900	Sagem Type G 14	Sagem	(null)	(null)	(null)
33001235	RC410/430 Type G14-1	Sagem	GSM 900	RC410/430 Type G14-1	Sagem	(null)	(null)	(null)
33001295	RC410/430 Type G14-1	Sagem	GSM 900	RC410/430 Type G14-1	Sagem	(null)	(null)	(null)
33001453	Pocketline Tango Type NPTT HC 400	Alcatel Radiotelephone (LAVAL)	GSM 900	Pocketline Tango Type NPTT HC 400	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33001553	Alcatel Airtel HC 600 Type Airtel HC 600	Alcatel Radiotelephone (LAVAL)	GSM 900	Alcatel Airtel HC 600 Type Airtel HC 600	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33001635	Affinity/Affinity 930 Type G14-S	Sagem	GSM 900	Affinity/Affinity 930 Type G14-S	Sagem	(null)	(null)	(null)
33001695	Affinity/Affinity 930 Type G14-S	Sagem	GSM 900	Affinity/Affinity 930 Type G14-S	Sagem	(null)	(null)	(null)
33001735	Mitsubishi GSM MT 20 Type MT 1171FD2	Mitsubishi Electric France	GSM 900	Mitsubishi GSM MT 20 Type MT 1171FD2	Mitsubishi Electric France	(null)	(null)	(null)
33001835	Mitsubishi GSM MT 10 Type MT 1176F02	Mitsubishi Electric France	GSM 900	Mitsubishi GSM MT 10 Type MT 1176F02	Mitsubishi Electric France	(null)	(null)	(null)
33001953	Alcatel 9100 Type 9109 HC 500	Alcatel Radiotelephone (LAVAL)	GSM 900	Alcatel 9100 Type 9109 HC 500	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33002053	Alcatel 9100 Type 9109 HC 800	Alcatel Radiotelephone (LAVAL)	GSM 900	Alcatel 9100 Type 9109 HC 800	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33002135	Detewe CP-ONE Type G14.1	Sagem	GSM 900	Detewe CP-ONE Type G14.1	Sagem	(null)	(null)	(null)
33002195	Detewe CP-ONE Type G14.1	Sagem	GSM 900	Detewe CP-ONE Type G14.1	Sagem	(null)	(null)	(null)
33002235	RM 833-/S/R Type G14-S	Sagem	GSM 900	RM 833-/S/R Type G14-S	Sagem	(null)	(null)	(null)
33002295	RM 833-/S/R Type G14-S	Sagem	GSM 900	RM 833-/S/R Type G14-S	Sagem	(null)	(null)	(null)
33002353	Alcatel Movistar HC 100 Type Telefonica HC 1000	Alcatel Radiotelephone (LAVAL)	GSM 900	Alcatel Movistar HC 100 Type Telefonica HC 1000	Alcatel Radiotelephone (LAVAL)	(null)	(null)	(null)
33002499	SGH 200	Samsung	GSM 900	SGH 200	Samsung	HANDHELD	(null)	(null)
33002535	Mitsubishi GSM MT11 Type MT 1177 F02A	Mitsubishi Electric France	GSM 900	Mitsubishi GSM MT11 Type MT 1177 F02A	Mitsubishi Electric France	(null)	(null)	(null)
33002635	Mitsubishi GSM MT20 D Type MT 1172 F02A	Mitsubishi Electric France	GSM 900	Mitsubishi GSM MT20 D Type MT 1172 F02A	Mitsubishi Electric France	(null)	(null)	(null)
